Titulo,Reclamação,Status,Data,Localidade
"cobrança indevida, número desconhecido!"," Estou cansado de atender ligações de cobrança da vivo, cobrando 2 contas de celular pós pago que não conheço o numero ... ",Não respondida,01/11/2019, Osasco 
Nao cumprimento da oferta de desconto," Bom diaAbri uma reclamação no dia 28/10/2019 não tive resposta então irei abrir esta reclamação na ANATEL, aguar... ",Não respondida,01/11/2019, São José dos Campos 
Oferecem serviços e não cumprem agendamentos," A vivo entrou em contato várias vezes oferecendo um serviço de telefonia fixa e internet, desistir de contratar outra ... ",Não respondida,01/11/2019, Hortolândia 
Alteração do valor do plano controle não foi feito," Vivo,Venho por meio desse canal tentar resolver meu problema, estou fora do país então consigo falar com v... ",Não respondida,01/11/2019, Sumaré 
Mudança de plano contratado, Contratei um plano controle com fidelidade do péssimo serviço da Vivo. Depois de uns meses usando e sofrendo com a fal... ,Não respondida,01/11/2019, Porto Alegre 
COBRANDO O QUE NÃO UTILIZEI E NÃO QUISERAM DEVOLVER MEU NUMERO," eu utilizo o mesmo numero a tempos e não poderia muda-lo agora, no começo do ano eu fiz o plano controle porque estava... ",Não respondida,01/11/2019, Jundiaí 
Foi creditado uma pendência em meu CPF sem eu ter realizado nenhuma compra nessa empresa," Ao tentar solicitar um cartão de crédito, fui negado por estar com o nome sujo. Ao consultar o site do Serasa, descobr... ",Não respondida,01/11/2019, João Pessoa 
conta duplicada e alteração de endereço indevidos após reclamação no call center, Por volta do dia 22/09/2019 entrei em contato com a vivo para migrar meu plano vivo família para controle (n titular e... ,Não respondida,01/11/2019, Manaus 
Cobrança indevida," Já fiz uma reclamação que não foi respondida. Já liguei, ficaram de me dar o retorno e mais uma vez não tive resposta.... ",Não respondida,01/11/2019, Campinas 
Tentativa de cancelamento," Tentei fazer o cancelamento do meu pacote de internet residencial, os mesmo quando dito q é cancelamento, me deixaram ... ",Não respondida,01/11/2019, São Paulo 
Cobrança e suspenção de serviços indevidos," Fui abordado por via telefonica para migrar de minha operadora para a Vivo Fibra, (TV e internet fixa) com o combo de ... ",Não respondida,01/11/2019, Porto Alegre 
Não recebimento fatura/Exclusão vr Assinatura," Srs. Boa Tarde!Pela segunda vez consecutiva, estamos ligando no canal 10315, e o assunto não esta sendo re... ",Não respondida,01/11/2019, Osasco 
Cobrança indevida, Estou sendo constantemente importunado por uma empresa de cobrança que atua em nome da Vivo.A Vivo não sei por q... ,Não respondida,01/11/2019, São Paulo 
Desrespeito," @vivobr infelizmente após muitos anos como cliente, estamos cancelando o contrato com esta empresa. Há mais de 48 hora... ",Não respondida,31/10/2019, Santo André 
Meu plano controle fica cada vez mais caro," No ano de 2018, eu aderi um plano controle por ser mais em conta.Comecei com um plano controle de R$36,00 e hoje... ",Não respondida,31/10/2019, Brasília 
VIVO FIBRA, Estou sem Internet desde as 12:45h do dia 31/10! Até na Ouvidoria dessa empresa de incompetentes já falei e ninguém dá... ,Não respondida,31/10/2019, São José do Rio Preto 
Falta de respeito com consumidor," Venho por meio desta, informar que no dia 27/10/19, sobre o protocolo de n 27102019-4514532, com a atendente de nome B... ",Não respondida,31/10/2019, Osasco 
Bloqueio, Fiquei desempregada e não estou conseguindo manter meus dois planos controle. Deixei atrasar e estou com meu celular b... ,Não respondida,31/10/2019, Tatuí 
A TORTURA DA VIVO," Seguindo a orientação da funcionária da VIVO, Srta. ARIENE estou ""procurando os meus direitos"". Essa empresa... ",Não respondida,31/10/2019, São Caetano do Sul 
Cobrança indevida," Eu tenho um contrato com a vivo de R$ 89,00 mensal no meu CNPJ 11.350.569/0001-01, porem todos os mês ela está adicion... ",Não respondida,31/10/2019, Sete Lagoas 
VIVO SE NEGA CANCELAR PLANO, PAGAMOS TODAS AS DÍVIDAS PENDENTES E LOGO LIGAMOS PARA PEDIR O CANCELAMENTO DO PLANO E MUDAR PARA O PRE PAGO  A ATENDE... ,Não respondida,31/10/2019, Montes Claros 
Furtando crédito do celular," Quando coloco Recarga em meu número da vivo, SEM USAR a internet ou fazer ligação eles descontam valores das minhas re... ",Não respondida,31/10/2019, Bento Gonçalves 
TV e Internet," Estou fazendo uma reclamação da minha indignação.  Abri um chamado dia 26, 27 e 30 ambas as  datas os atendentes agend... ",Não respondida,31/10/2019, São Paulo 
CANCELAMENTO INDEVIDO DA LINHA," A vivo ligou para a casa da minha tia, que é uma pessoa idosa, informando que haviam solicitado o cancelamento de sua ... ",Não respondida,31/10/2019, Santo André 
CANCELAMENTO INDEVIDO DA LINHA," A vivo ligou para a casa da minha tia, que é uma pessoa idosa, informando que haviam solicitado o cancelamento de sua ... ",Não respondida,31/10/2019, Santo André 
Cancelamento não efetuado, Boa Noite!Contratei o serviço da Internet wi-fi da vivo 4 mega a um  ano e três meses atras e durante esse... ,Não respondida,31/10/2019, São Paulo 
Bande de [Editado pelo Reclame Aqui]s," Não vão responder mesmo, então nem vou relatar meu problema. Empresa se responsabilidade social. ",Não respondida,31/10/2019, Canoas 
Fatura indevida," Boa noite! Aproximadamente 12 meses resolvi mudar de operadora de internet, onde o vendedor da vivo prometeu varias co... ",Não respondida,31/10/2019, Sertãozinho 
